powergrid_batteryhint | Install some Batteries to store reserve power from your Reactor. | Установите несколько аккумуляторов, чтобы запастись энергией из реактора.
powergrid_category_battery | BATTERY | БАТАРЕЯ
powergrid_category_defenses | DEFENSES | ОБОРОНА
powergrid_category_engines | ENGINES | ДВИГАТЕЛИ
powergrid_category_FTL | FTL | СВЕРХСВЕТСКОР
powergrid_category_lifesupport | LIFE SUPPORT | ЖИЗНЕОБЕСПЕЧЕНИЕ
powergrid_category_logistics | LOGISTICS | ЛОГИСТИКА
powergrid_category_other | OTHER | ПРОЧЕЕ
powergrid_category_reactor | REACTOR | РЕАКТОР
powergrid_category_science | SCIENCE | НАУКА
powergrid_category_stargate | STARGATE | ЗВЕЗДНЫЕ ВРАТА
powergrid_category_weapons | WEAPONS | ОРУЖИЕ
powergrid_demand | DEMAND *X Mw | ПОТРЕБЛЕНИЕ *X МВт
powergrid_output | OUTPUT *X Mw | ВЫХОД *X МВт
powergrid_power | POWER | ЭЛЕКТРОЭНЕРГИЯ
powergrid_powershortagehint | Your ship cannot generate enough power. Consider installing more Reactors. | Ваш корабль не может генерировать достаточно энергии. Рассмотрите возможность установки большего количества реакторов.
powergrid_stored | STORED *X Mw | ХРАНЕНИЕ *X МВт
powergrid_title | POWER GRID | ЭЛЕКТРОСЕТЬ
